,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
0,60,264,5.0,0,0,0,0,10,19,7,0,0,0,0,0,0,0,0,0,0,1,4,1.0,0
1,110,1724,5.0,0,0,0,1,25,28,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1
2,126,663,5.0,1,0,1,0,19,32,7,0,0,0,0,0,0,0,0,0,0,1,5,7.0,1
3,28,3,0.0,1,1,1,0,0,5,7,0,0,0,0,0,0,2,0,0,0,1,2,24.0,0
4,28,2,0.0,3,1,1,0,0,9,7,0,0,0,0,0,0,0,0,0,0,1,15,4.0,0
5,47,48,0.0,0,1,0,0,0,14,7,5,0,0,0,0,0,0,0,0,0,1,1,12.0,0
6,16,185,5.0,1,0,0,0,5,30,7,0,0,0,0,0,0,0,0,0,0,1,12,5.0,0
7,44,11,0.0,0,1,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,1,3,5.0,0
8,47,280,5.0,0,0,0,0,2,24,7,0,0,0,0,0,0,0,0,0,0,1,3,1.0,0
9,47,270,5.0,2,0,0,0,10,30,7,5,0,0,0,0,0,0,0,0,0,1,2,5.0,0
10,47,22,0.0,3,1,1,0,0,20,7,5,0,0,0,5,0,0,0,0,0,1,15,2.0,0
11,44,776,5.0,1,0,1,0,11,37,7,0,0,0,0,0,0,0,0,0,0,1,7,5.0,0
12,47,1078,5.0,1,0,0,0,2,31,7,0,0,0,0,0,0,0,0,0,0,1,12,2.0,0
13,54,3053,4.8,0,0,0,0,40,31,7,2,0,0,0,0,2,0,0,0,0,1,2,4.0,0
14,54,4197,4.4,0,0,1,0,26,57,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
15,47,310,5.0,0,0,0,0,5,19,7,0,0,0,0,0,0,0,0,0,0,1,2,5.0,0
16,32,0,0.0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
17,44,1552,5.0,2,0,0,0,12,73,7,0,0,0,0,0,0,0,0,0,0,1,9,19.0,0
18,38,957,5.0,0,0,0,0,5,23,7,1,0,0,0,0,0,0,0,0,1,1,3,9.0,0
19,57,426,5.0,0,0,0,0,10,22,7,0,0,0,0,0,0,0,0,0,0,1,2,24.0,0
20,123,797,5.0,0,0,0,1,10,26,7,0,0,0,0,0,0,0,0,0,0,1,5,3.0,1
21,57,1194,5.0,1,0,1,1,65,47,7,0,7,0,0,0,0,0,0,0,0,1,16,1.0,0
22,60,1111,5.0,0,0,1,0,17,29,7,3,0,0,0,0,0,0,0,0,0,1,0,1.0,0
23,16,284,5.0,3,0,0,0,14,31,7,0,0,0,0,0,0,0,0,0,0,1,23,1.0,0
24,28,145,5.0,3,0,0,0,9,37,7,0,0,0,0,0,7,0,0,0,0,1,26,1.0,0
25,57,294,5.0,0,0,1,0,3,31,7,0,0,1,0,0,0,0,0,0,0,1,9,14.0,0
26,60,9,0.0,1,1,0,0,0,2,7,5,0,3,0,0,0,0,0,0,5,1,1,1.0,0
27,32,905,5.0,2,0,0,0,46,62,7,0,0,0,0,0,0,0,0,0,0,1,11,1.0,0
28,117,1342,5.0,3,0,0,0,22,31,7,0,0,0,0,0,0,0,0,0,0,1,6,11.0,1
29,63,534,5.0,0,0,1,0,5,24,7,0,0,0,3,0,0,0,0,0,0,1,7,24.0,0
30,47,658,5.0,1,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
31,16,210,5.0,3,0,1,0,4,9,7,0,0,0,0,0,0,0,0,0,0,1,5,2.0,0
32,28,0,0.0,1,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
33,38,595,5.0,1,0,0,0,26,32,7,0,0,0,0,0,0,0,0,0,0,1,7,1.0,0
34,47,173,5.0,0,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
35,72,179,5.0,2,0,0,1,5,5,7,5,0,0,0,0,0,2,0,0,0,1,2,1.0,0
36,44,180,4.4,0,0,0,0,7,17,7,0,0,0,0,0,0,0,0,0,0,1,1,5.0,0
37,60,4145,4.9,3,0,0,0,109,107,7,0,0,0,0,0,0,0,0,0,0,1,6,3.0,0
38,63,4569,4.8,0,0,0,1,18,59,7,0,0,0,0,0,0,3,0,0,0,1,20,24.0,0
39,79,1044,5.0,0,0,0,0,12,9,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
40,63,479,5.0,0,0,1,0,12,35,7,0,0,0,0,0,0,0,0,0,0,1,4,3.0,0
